Team,Goals,goalsAllowed,goalDiff
Arsenal, 79, 36, 43.0
Liverpool, 67, 30, 37.0
Manchester United, 87, 45, 42.0
Newcastle, 74, 52, 22.0
Leeds, 53, 37, 16.0
Chelsea, 66, 38, 28.0
West_Ham, 48, 57, 9.0
Aston_Villa, 46, 47, 1.0
Tottenham, 49, 53, 4.0
Blackburn, 55, 51, 4.0
Southampton, 46, 54, 8.0
Middlesbrough, 35, 47, 12.0
Fulham, 36, 44, 8.0
Charlton, 38, 49, 11.0
Everton, 45, 57, 12.0
Bolton, 44, 62, 18.0
Sunderland, 29, 51, 22.0
Ipswich, 41, 64, 23.0
Derby, 33, 63, 30.0
Leicester, 30, 64, 34.0
