Day,weather_maxTemp,weather_minTemp,weather_diff
1, 88, 59, 29.0
2, 79, 63, 16.0
3, 77, 55, 22.0
4, 77, 59, 18.0
5, 90, 66, 24.0
6, 81, 61, 20.0
7, 73, 57, 16.0
8, 75, 54, 21.0
9, 86, 32, 54.0
10, 84, 64, 20.0
11, 91, 59, 32.0
12, 88, 73, 15.0
13, 70, 59, 11.0
14, 61, 59, 2.0
15, 64, 55, 9.0
16, 79, 59, 20.0
17, 81, 57, 24.0
18, 82, 52, 30.0
19, 81, 61, 20.0
20, 84, 57, 27.0
21, 86, 59, 27.0
22, 90, 64, 26.0
23, 90, 68, 22.0
24, 90, 77, 13.0
25, 90, 72, 18.0
26, 97, 64, 33.0
27, 91, 72, 19.0
28, 84, 68, 16.0
29, 88, 66, 22.0
30, 90, 45, 45.0
